Metric,Scenario,Year 1,Year 5,Year 10,Year 15,Year 20
Cumulative Costs,Control and Remove,110983.71,385034.21,524192.07,574369.52,592528.11
CTLA Value of All Trees,Control and Remove,2670484.21,1289018.37,516702.19,208223.11,85646.35
Net Value of All Trees,Control and Remove,2559500.5,903984.16,-7489.88,-366146.42,-506881.76
Ash Tree Count,Control and Remove,1192.0,488.0,160.0,53.0,18.0
Non-Ash Tree Count,Control and Remove,0.0,0.0,0.0,0.0,0.0
Total Tree Count,Control and Remove,1192.0,488.0,160.0,53.0,18.0
Ash Tree Basal Area,Control and Remove,706967.73,315259.37,114458.58,41776.89,15563.78
Non-Ash Tree Basal Area,Control and Remove,0.0,0.0,0.0,0.0,0.0
Total Tree Basal Area,Control and Remove,706967.73,315259.37,114458.58,41776.89,15563.78
Cumulative Costs,"Control, Remove, then Replant",344163.18,1245309.38,1807027.13,2081930.06,2253286.16
CTLA Value of All Trees,"Control, Remove, then Replant",2670484.21,2681657.86,3658703.07,5671545.56,8665262.99
Net Value of All Trees,"Control, Remove, then Replant",2326321.03,1436348.49,1851675.94,3589615.5,6411976.83
Ash Tree Count,"Control, Remove, then Replant",1192.0,488.0,160.0,53.0,18.0
Non-Ash Tree Count,"Control, Remove, then Replant",0.0,696.0,937.0,988.0,980.0
Total Tree Count,"Control, Remove, then Replant",1192.0,1184.0,1097.0,1041.0,998.0
Ash Tree Basal Area,"Control, Remove, then Replant",706967.73,315259.37,114458.58,41776.89,15563.78
Non-Ash Tree Basal Area,"Control, Remove, then Replant",0.0,28834.06,58921.33,92794.49,131987.37
Total Tree Basal Area,"Control, Remove, then Replant",706967.73,344093.42,173379.9,134571.38,147551.15
Cumulative Costs,Remove then Replant,465101.14,1892003.6,2027460.09,2131366.16,2243685.5
CTLA Value of All Trees,Remove then Replant,2978892.33,2504855.45,4411462.96,7134375.97,10705472.1
Net Value of All Trees,Remove then Replant,2513791.19,612851.85,2384002.87,5003009.81,8461786.6
Ash Tree Count,Remove then Replant,1090.0,0.0,0.0,0.0,0.0
Non-Ash Tree Count,Remove then Replant,366.0,1121.0,1044.0,1004.0,964.0
Total Tree Count,Remove then Replant,1456.0,1121.0,1044.0,1004.0,964.0
Ash Tree Basal Area,Remove then Replant,646472.17,0.0,0.0,0.0,0.0
Non-Ash Tree Basal Area,Remove then Replant,12033.16,51862.06,82727.3,121177.32,164691.17
