Metric,Scenario,Year 1,Year 5,Year 10,Year 15,Year 20
Cumulative Costs,Control and Remove,110983.71,344365.77,407766.86,388609.74,348684.05
CTLA Value of All Trees,Control and Remove,2670484.21,1152868.47,401940.51,140880.61,50400.17
Net Value of All Trees,Control and Remove,2559500.5,808502.71,-5826.35,-247729.14,-298283.88
Ash Tree Count,Control and Remove,1192.0,488.0,160.0,53.0,18.0
Non-Ash Tree Count,Control and Remove,0.0,0.0,0.0,0.0,0.0
Total Tree Count,Control and Remove,1192.0,488.0,160.0,53.0,18.0
Ash Tree Basal Area,Control and Remove,706967.73,315259.37,114458.58,41776.89,15563.78
Non-Ash Tree Basal Area,Control and Remove,0.0,0.0,0.0,0.0,0.0
Total Tree Basal Area,Control and Remove,706967.73,315259.37,114458.58,41776.89,15563.78
Cumulative Costs,"Control, Remove, then Replant",344163.18,1113776.16,1405678.98,1408602.43,1325987.62
CTLA Value of All Trees,"Control, Remove, then Replant",2670484.21,2398413.3,2846090.09,3837282.07,5099233.13
Net Value of All Trees,"Control, Remove, then Replant",2326321.03,1284637.16,1440411.11,2428679.63,3773245.51
Ash Tree Count,"Control, Remove, then Replant",1192.0,488.0,160.0,53.0,18.0
Non-Ash Tree Count,"Control, Remove, then Replant",0.0,696.0,937.0,988.0,980.0
Total Tree Count,"Control, Remove, then Replant",1192.0,1184.0,1097.0,1041.0,998.0
Ash Tree Basal Area,"Control, Remove, then Replant",706967.73,315259.37,114458.58,41776.89,15563.78
Non-Ash Tree Basal Area,"Control, Remove, then Replant",0.0,28834.06,58921.33,92794.49,131987.37
Total Tree Basal Area,"Control, Remove, then Replant",706967.73,344093.42,173379.9,134571.38,147551.15
Cumulative Costs,Remove then Replant,465101.14,1692164.64,1577152.87,1442050.15,1320337.93
CTLA Value of All Trees,Remove then Replant,2978892.33,2240285.28,3431658.91,4827011.03,6299831.65
Net Value of All Trees,Remove then Replant,2513791.19,548120.64,1854506.04,3384960.87,4979493.71
Ash Tree Count,Remove then Replant,1090.0,0.0,0.0,0.0,0.0
Non-Ash Tree Count,Remove then Replant,366.0,1121.0,1044.0,1004.0,964.0
Total Tree Count,Remove then Replant,1456.0,1121.0,1044.0,1004.0,964.0
Ash Tree Basal Area,Remove then Replant,646472.17,0.0,0.0,0.0,0.0
Non-Ash Tree Basal Area,Remove then Replant,12033.16,51862.06,82727.3,121177.32,164691.17
Total Tree Basal Area,Remove then Replant,658505.33,51862.06,82727.3,121177.32,164691.17
Cumulative Costs,"Replant, Inject, then Remove",448391.68,2001142.36,2465999.47,2311662.01,2162480.48
CTLA Value of All Trees,"Replant, Inject, then Remove",3780933.73,5694359.78,4375416.58,6342380.5,8469683.6
Net Value of All Trees,"Replant, Inject, then Remove",3332542.05,3693217.43,1909417.1,4030718.49,6307203.12
Ash Tree Count,"Replant, Inject, then Remove",1448.0,1293.0,0.0,0.0,0.0
Non-Ash Tree Count,"Replant, Inject, then Remove",366.0,1395.0,1470.0,1475.0,1475.0
Total Tree Count,"Replant, Inject, then Remove",1814.0,2688.0,1470.0,1475.0,1475.0
Ash Tree Basal Area,"Replant, Inject, then Remove",858799.73,835308.11,0.0,0.0,0.0
Non-Ash Tree Basal Area,"Replant, Inject, then Remove",12033.16,61109.12,105478.55,159219.17,221415.78
Total Tree Basal Area,"Replant, Inject, then Remove",870832.89,896417.24,105478.55,159219.17,221415.78
Cumulative Costs,"Inject, Remove, and Replant",141312.47,634914.14,2001083.4,1825722.48,1651873.89
CTLA Value of All Trees,"Inject, Remove, and Replant",3299757.09,3347544.44,2344981.55,3581217.28,4999407.58
Net Value of All Trees,"Inject, Remove, and Replant",3158444.62,2712630.3,343898.15,1755494.8,3347533.69
Ash Tree Count,"Inject, Remove, and Replant",1448.0,1293.0,0.0,0.0,0.0
Non-Ash Tree Count,"Inject, Remove, and Replant",38.0,158.0,1108.0,1051.0,1016.0
Total Tree Count,"Inject, Remove, and Replant",1486.0,1451.0,1108.0,1051.0,1016.0
Ash Tree Basal Area,"Inject, Remove, and Replant",858799.73,835308.11,0.0,0.0,0.0
Non-Ash Tree Basal Area,"Inject, Remove, and Replant",1249.34,6780.92,56530.67,89902.91,130695.28
Total Tree Basal Area,"Inject, Remove, and Replant",860049.08,842089.04,56530.67,89902.91,130695.28
Cumulative Costs,Inject in Perpetuity,105290.54,468825.63,812012.3,1054981.45,1217386.81
CTLA Value of All Trees,Inject in Perpetuity,3244011.02,3054628.97,2821119.96,2589013.46,2366007.72
Net Value of All Trees,Inject in Perpetuity,3138720.48,2585803.34,2009107.66,1534032.0,1148620.91
Ash Tree Count,Inject in Perpetuity,1448.0,1293.0,1123.0,974.0,845.0
Non-Ash Tree Count,Inject in Perpetuity,0.0,0.0,0.0,0.0,0.0
Total Tree Count,Inject in Perpetuity,1448.0,1293.0,1123.0,974.0,845.0
Ash Tree Basal Area,Inject in Perpetuity,858799.73,835308.11,803356.12,767748.87,730633.12
Non-Ash Tree Basal Area,Inject in Perpetuity,0.0,0.0,0.0,0.0,0.0
Total Tree Basal Area,Inject in Perpetuity,858799.73,835308.11,803356.12,767748.87,730633.12
Cumulative Costs,Inject in Perpetuity with Replanting,141312.47,634914.14,1107203.23,1443582.39,1669226.46
CTLA Value of All Trees,Inject in Perpetuity with Replanting,3299757.09,3347544.44,3498942.59,3781953.48,4208114.33
Net Value of All Trees,Inject in Perpetuity with Replanting,3158444.62,2712630.3,2391739.36,2338371.09,2538887.87
Ash Tree Count,Inject in Perpetuity with Replanting,1448.0,1293.0,1123.0,974.0,845.0
Non-Ash Tree Count,Inject in Perpetuity with Replanting,38.0,158.0,278.0,386.0,480.0
Total Tree Count,Inject in Perpetuity with Replanting,1486.0,1451.0,1401.0,1360.0,1325.0
Ash Tree Basal Area,Inject in Perpetuity with Replanting,858799.73,835308.11,803356.12,767748.87,730633.12
Non-Ash Tree Basal Area,Inject in Perpetuity with Replanting,1249.34,6780.92,16340.33,29947.58,48156.64
Total Tree Basal Area,Inject in Perpetuity with Replanting,860049.08,842089.04,819696.45,797696.44,778789.75
